NumThreads,Dim,Runtime
1,1000,1.31388
1,1000,1.12992
1,1000,1.16945
1,1000,1.42922
1,1000,1.46244
1,1500,3.66919
1,1500,3.77077
1,1500,3.60935
1,1500,3.84331
1,1500,3.9749
1,2000,16.5806
1,2000,16.4929
1,2000,16.6563
1,2000,16.7029
1,2000,16.5927
2,1000,0.754518
2,1000,0.724482
2,1000,0.599388
2,1000,0.632405
2,1000,0.628569
2,1500,1.91798
2,1500,1.85056
2,1500,1.96134
2,1500,2.08481
2,1500,1.89782
2,2000,10.1775
2,2000,9.75472
2,2000,10.0232
2,2000,10.3069
2,2000,10.1991
4,1000,0.305719
4,1000,0.297059
4,1000,0.291632
4,1000,0.29797
4,1000,0.291059
4,1500,0.989871
4,1500,0.966869
4,1500,1.04099
4,1500,0.980819
4,1500,0.972832
4,2000,5.32928
4,2000,5.15682
4,2000,5.19977
4,2000,5.23225
4,2000,5.32995
6,1000,0.210185
6,1000,0.238331
6,1000,0.214518
6,1000,0.208968
6,1000,0.209066
6,1500,0.705341
6,1500,0.682195
6,1500,0.709878
6,1500,0.732931
6,1500,0.695819
6,2000,3.61791
6,2000,3.664
6,2000,3.47562
6,2000,3.51261
6,2000,3.54086
8,1000,0.16261
8,1000,0.160186
8,1000,0.160031
8,1000,0.159256
8,1000,0.15961
8,1500,0.541117
8,1500,0.541328
8,1500,0.54158
8,1500,0.529482
8,1500,0.514508
8,2000,2.82212
8,2000,2.53063
8,2000,2.78327
8,2000,2.58602
8,2000,2.78923
10,1000,0.1342
10,1000,0.1336
10,1000,0.151111
10,1000,0.133486
10,1000,0.134397
10,1500,0.437005
10,1500,0.431589
10,1500,0.433468
10,1500,0.429977
10,1500,0.430742
10,2000,2.34681
10,2000,2.32446
10,2000,2.2362
10,2000,2.28631
10,2000,2.28421
12,1000,0.117873
12,1000,0.131776
12,1000,0.115524
12,1000,0.117265
12,1000,0.117411
12,1500,0.370594
12,1500,0.38591
12,1500,0.384819
12,1500,0.372215
12,1500,0.376855
12,2000,1.93384
12,2000,2.0051
12,2000,1.94273
12,2000,2.00932
12,2000,1.98221
14,1000,0.103169
14,1000,0.102279
14,1000,0.103151
14,1000,0.101959
14,1000,0.101579
14,1500,0.328178
14,1500,0.344057
14,1500,0.344592
14,1500,0.327021
14,1500,0.326092
14,2000,1.74689
14,2000,1.72076
14,2000,1.73646
14,2000,1.70303
14,2000,1.72799
16,1000,0.0912403
16,1000,0.0918562
16,1000,0.0906949
16,1000,0.091669
16,1000,0.092083
16,1500,0.29985
16,1500,0.285753
16,1500,0.291586
16,1500,0.297098
16,1500,0.302643
16,2000,1.31399
16,2000,1.33171
16,2000,1.32691
16,2000,1.33104
16,2000,1.31452
18,1000,0.0830324
18,1000,0.0824188
18,1000,0.0913691
18,1000,0.0823369
18,1000,0.0823527
18,1500,0.258582
18,1500,0.260294
18,1500,0.268526
18,1500,0.263293
18,1500,0.259512
18,2000,1.27223
18,2000,1.29554
18,2000,1.27588
18,2000,1.2542
18,2000,1.27225
20,1000,0.084554
20,1000,0.0759989
20,1000,0.0761797
20,1000,0.0768048
20,1000,0.0768875
20,1500,0.238879
20,1500,0.2386
20,1500,0.238862
20,1500,0.238249
20,1500,0.234365
20,2000,1.20412
20,2000,1.24254
20,2000,1.22761
20,2000,1.2412
20,2000,1.23977
